Model,Accuracy_%,Correct,Wrong,Avg_Fact_Score,Avg_Quality_Score,Avg_Latency_ms
llama3.1:8b,100.0,3,0,10.0,8.7,4749.7
gemma2:9b,66.7,2,1,6.7,7.3,3606.3
mistral-nemo:12b,66.7,2,1,6.7,7.0,5084.3
