Model,Agent_Type,Accuracy_%,Correct,Wrong,Avg_Latency_ms
Llama 3.1 8B,DSPy Baseline,60.0,12,8,7227.7
Llama 3.1 8B,DSPy Optimized,60.0,12,8,4328.6
Gemma2 9B,DSPy Baseline,65.0,13,7,7645.8
Gemma2 9B,DSPy Optimized,80.0,16,4,4455.6
Mistral Nemo 12B,DSPy Baseline,60.0,12,8,7777.0
Mistral Nemo 12B,DSPy Optimized,45.0,9,11,3887.5
